,image,Metric,yolo_rmse,dualsight_rmse,yolo_pred_mean,dual_pred_mean,yolo_gt_mean,dual_gt_mean,yolo_r2_mean,dual_r2_mean
38,HP743_5S_500x:,equivalent_diameter,24.132163170042826,20.208499968946263,119.22925279442127,121.20391591025,127.30077653424071,127.30077653424071,0.7395218310661829,0.8173385166875953
41,HP743_5S_500x:,feret_diameter_max,35.756670610014474,20.64361918629247,149.8808002631328,157.09345564575023,163.3699018273738,163.3699018273738,0.6033415011320682,0.8677869590034074
42,HP743_5S_500x:,perimeter,198.581708902415,153.99653140330614,440.00589275987403,461.140692371118,509.5123331111822,509.5123331111822,0.37679881270805093,0.6252240941455183
43,HP743_5S_500x:,solidity,0.045457880223319806,0.028431012959100783,0.9499539129459609,0.9359010807721077,0.9330440481902939,0.9330440481902939,0.5932295388166304,0.8408833178396105
44,MW_FeMnAl_500_22-11:,area,2882.4568160946865,2768.2901187950265,2611.086124401914,2777.913875598086,3530.9282296650717,3491.282296650718,0.42549235088260684,0.4634289619474926
45,MW_FeMnAl_500_22-11:,area_convex,3101.0487576188134,2977.9905647647292,2716.2392344497607,2896.9186602870814,3745.4832535885166,3701.1244019138758,0.40517013815377656,0.4435583225411852
46,MW_FeMnAl_500_22-11:,major_axis_length,30.82449281851526,29.376688880820485,58.208788488524085,60.67047457859704,69.16863361887324,68.74773268137793,0.3329981362289365,0.3877536200761734
47,MW_FeMnAl_500_22-11:,minor_axis_length,23.148870022074046,21.555228437764278,45.74727161683644,47.905519373684626,53.32724855288254,53.1012839236074,0.376683967798512,0.45047774561140985
48,MW_FeMnAl_500_22-11:,eccentricity,0.17836919440368662,0.16303403297480124,0.542775405587899,0.5214405507536802,0.540604675235321,0.5374436063025624,0.341127211272655,0.44758238474476375
49,MW_FeMnAl_500_22-11:,equivalent_diameter,25.124554302834756,23.49221478541027,50.425557191433285,52.82564347104281,59.211647775981454,58.90987621109738,0.36218615269156373,0.4338866805763656
52,MW_FeMnAl_500_22-11:,feret_diameter_max,32.100895745078844,30.939063656843743,60.76317692162141,62.4815730945844,72.47863616366926,72.06061498727405,0.31278510548258986,0.3548859571340145
53,MW_FeMnAl_500_22-11:,perimeter,99.15957352780849,95.098957149263,177.60727672664393,184.56595075278616,213.8371229802309,212.60680199941822,0.29658869887729367,0.3439614789226614
54,MW_FeMnAl_500_22-11:,solidity,0.05175922239659136,0.05098548289071335,0.963040451059586,0.9561782284214648,0.9448416976736552,0.9453251208981989,-0.747416298128454,-0.6981834801449478
55,OMG_Cu_1250_07:,area,34093.23753641308,33073.83726387283,15248.166666666666,18019.380952380954,34229.21428571428,34229.21428571428,0.006740766818164712,0.06525039015386858
56,OMG_Cu_1250_07:,area_convex,46506.09432337106,45295.25844495468,17904.5,22985.785714285714,45424.380952380954,45424.380952380954,-0.07166724550957393,-0.016589699373293243
57,OMG_Cu_1250_07:,major_axis_length,197.9924506417706,187.42720283712092,173.69973512741632,196.0839959317303,308.55413915790655,308.55413915790655,-0.08440841518315056,0.02823586942495082
58,OMG_Cu_1250_07:,minor_axis_length,85.43402425624213,83.83738463940279,97.34051080470341,104.56389144637875,143.6939553507166,143.6939553507166,0.13903537173900515,0.17091506190889438
59,OMG_Cu_1250_07:,eccentricity,0.18860106303682356,0.14803092851940802,0.7273174720996946,0.7502142967292502,0.7913970601209008,0.7913970601209008,-0.2605528414632863,0.22343518460212985
60,OMG_Cu_1250_07:,equivalent_diameter,97.71702338847581,93.32597537363372,120.26601916881204,129.0167020837507,183.57347907606032,183.57347907606032,0.033811414759209346,0.11869442181572554
63,OMG_Cu_1250_07:,feret_diameter_max,191.8252700333235,178.239058754066,180.45698304136508,204.90880769264837,310.3701806216669,310.3701806216669,-0.07734700498424019,0.06985697790992318
64,OMG_Cu_1250_07:,perimeter,699.8141180609991,679.1914376046327,557.3456647207447,653.8714986497021,1031.0940015046249,1031.0940015046249,-0.1352620677275711,-0.06933832496345937
65,OMG_Cu_1250_07:,solidity,0.11445253386197678,0.09727431062844419,0.882587320192327,0.8440902552286706,0.7967409066949904,0.7967409066949904,-0.6139901608575675,-0.16585994681849803
66,RHA_00-45_500X07:,area,2074.5318447784794,2321.092374831299,37580.75,39170.8125,38775.75,38775.75,0.9949265807132408,0.9936489520201708
67,RHA_00-45_500X07:,area_convex,2271.9418456465824,2813.215953317484,39689.5,41098.125,40427.75,40427.75,0.9940790724555555,0.990921764003673
68,RHA_00-45_500X07:,major_axis_length,5.9590273705558765,10.573787812097798,254.5359311998426,260.15649635988086,257.0722900206828,257.0722900206828,0.9942942842646443,0.9820352758690696
69,RHA_00-45_500X07:,minor_axis_length,18.666569474771478,12.463702028873682,167.7040225295775,173.673074249609,177.3119009868076,177.3119009868076,0.9625647129747197,0.9833103872170151
70,RHA_00-45_500X07:,eccentricity,0.08118785915886305,0.08699242074205486,0.7245791105386437,0.7148005117551015,0.6810422629893276,0.6810422629893276,0.8761411614309801,0.8577973609491452
71,RHA_00-45_500X07:,equivalent_diameter,10.213110656847498,7.460594795082726,196.95263912579463,202.5512376898438,202.66424777552373,202.66424777552373,0.9874298185177915,0.9932923193337928
74,RHA_00-45_500X07:,feret_diameter_max,13.427300773480932,18.684196869588902,267.0206935006395,275.39067914080124,271.76506095990345,271.76506095990345,0.9750153489511036,0.9516223550379755
75,RHA_00-45_500X07:,perimeter,83.1460835853246,47.448290395204786,777.8294414193803,775.7492510594936,767.8084524439539,767.8084524439539,0.9089563173539033,0.9703511837018719
76,RHA_00-45_500X07:,solidity,0.038777383803698225,0.039416112622939724,0.9351773644690714,0.9336489582535372,0.933189395859503,0.933189395859503,0.7093408174109641,0.6996866642960816
77,Rec-Cu-Ni-Powder_250x_7_SE_V1:,area,5729.77288072624,5698.300008361627,4344.294117647059,4974.904411764706,6302.470588235294,6255.654411764706,0.4189148847557077,0.42641092765017163
78,Rec-Cu-Ni-Powder_250x_7_SE_V1:,area_convex,7334.962112456783,7767.696388020749,5020.22794117647,6045.757352941177,7349.639705882353,7283.169117647059,0.36840462303551447,0.29342592748247565
79,Rec-Cu-Ni-Powder_250x_7_SE_V1:,major_axis_length,46.93138299445723,48.01660527807238,87.43529082357864,94.52474249818232,104.44313290092136,103.68473347040485,0.39768233189001545,0.3711272978733656
80,Rec-Cu-Ni-Powder_250x_7_SE_V1:,minor_axis_length,31.05875000662534,30.579903083569732,56.41924245827799,59.864387055043956,65.5589885435031,65.22185477091895,0.418986518441293,0.43690784704876684
81,Rec-Cu-Ni-Powder_250x_7_SE_V1:,eccentricity,0.13392463311440087,0.11795891560856157,0.7101195960816444,0.7085703128019574,0.7294477793549738,0.7286645131893936,0.2410230187692306,0.40604834960607217
